OID,Shape_Length,Shape_Area,x_z,y_z,dy_conf
1,4000,1000000,116.2230422,39.81488216,0.0
2,4000,1000000,116.2347248,39.81495981,0.0
3,4000,1000000,116.2464074,39.81503627,0.0
4,4000,1000000,116.2580901,39.81511156,0.0
5,4000,1000000,116.2697728,39.81518568,0.0
6,4000,1000000,116.2814556,39.81525862,1.0
7,4000,1000000,116.2931384,39.81533038,1.4
8,4000,1000000,116.3048212,39.81540097,1.3
9,4000,1000000,116.3165041,39.81547038,0.0
10,4000,1000000,116.328187,39.81553861,0.0
11,4000,1000000,116.33987,39.81560567,0.0
12,4000,1000000,116.351553,39.81567155,0.0
13,4000,1000000,116.3632361,39.81573625,1.0
14,4000,1000000,116.3749191,39.81579978,0.0
15,4000,1000000,116.3866023,39.81586214,0.0
16,4000,1000000,116.3982854,39.81592331,0.0
17,4000,1000000,116.4099686,39.81598331,1.0
18,4000,1000000,116.4216518,39.81604214,0.0
19,4000,1000000,116.4333351,39.81609978,1.5
20,4000,1000000,116.4450184,39.81615626,0.0
21,4000,1000000,116.4567017,39.81621155,0.0
22,4000,1000000,116.4683851,39.81626567,0.0
23,4000,1000000,116.4800684,39.81631861,0.0
24,4000,1000000,116.4917519,39.81637038,0.0
25,4000,1000000,116.5034353,39.81642097,1.0
26,4000,1000000,116.5151188,39.81647038,1.0
27,4000,1000000,116.5268023,39.81651862,0.0
28,4000,1000000,116.5384858,39.81656568,0.0
29,4000,1000000,116.5501694,39.81661156,0.0
30,4000,1000000,116.561853,39.81665627,0.0
31,4000,1000000,116.2229407,39.82389142,0.0
32,4000,1000000,116.2346248,39.82396908,0.0
33,4000,1000000,116.246309,39.82404558,0.0
34,4000,1000000,116.2579932,39.82412089,0.0
35,4000,1000000,116.2696774,39.82419503,0.0
36,4000,1000000,116.2813617,39.82426799,1.3
37,4000,1000000,116.2930461,39.82433978,1.4
38,4000,1000000,116.3047304,39.82441039,1.3
39,4000,1000000,116.3164148,39.82447982,0.0
40,4000,1000000,116.3280993,39.82454807,0.0
