OBJECTID,x,y,pick_up
1,433500,4407500,0.0
2,434500,4407500,0.0
3,435500,4407500,0.0
4,436500,4407500,0.0
5,437500,4407500,0.0
6,438500,4407500,0.0
7,439500,4407500,0.19230769230769232
8,440500,4407500,0.25
9,441500,4407500,0.0
10,442500,4407500,1.0
11,443500,4407500,0.00909090909090909
12,444500,4407500,0.0
13,445500,4407500,0.02631578947368421
14,446500,4407500,0.23076923076923078
15,447500,4407500,0.0
16,448500,4407500,0.0
17,449500,4407500,0.1875
18,450500,4407500,0.0
19,451500,4407500,0.1875
20,452500,4407500,0.0
21,453500,4407500,0.0
22,454500,4407500,0.0
23,455500,4407500,0.0
24,456500,4407500,0.041666666666666664
25,457500,4407500,0.0
26,458500,4407500,0.0
27,459500,4407500,0.0
28,460500,4407500,0.0
29,461500,4407500,0.0
30,462500,4407500,0.0
31,433500,4408500,0.0
32,434500,4408500,0.0
33,435500,4408500,0.0
34,436500,4408500,0.0
35,437500,4408500,0.0
36,438500,4408500,0.6
37,439500,4408500,0.3333333333333333
38,440500,4408500,0.6666666666666666
39,441500,4408500,0.2
40,442500,4408500,0.0
41,443500,4408500,0.006535947712418301
42,444500,4408500,0.6666666666666666
43,445500,4408500,0.0
44,446500,4408500,0.0
45,447500,4408500,0.03571428571428571
46,448500,4408500,0.11627906976744186
47,449500,4408500,0.0
48,450500,4408500,0.015873015873015872
49,451500,4408500,0.0
50,452500,4408500,0.0
51,453500,4408500,0.47619047619047616
52,454500,4408500,0.0
53,455500,4408500,0.0196078431372549
54,456500,4408500,0.023809523809523808
55,457500,4408500,0.0
56,458500,4408500,0.0
57,459500,4408500,0.043478260869565216
58,460500,4408500,0.0
59,461500,4408500,0.4
60,462500,4408500,0.0
61,433500,4409500,0.0
62,434500,4409500,0.0
63,435500,4409500,1.0
64,436500,4409500,0.0
65,437500,4409500,0.08
66,438500,4409500,0.1258741258741259
67,439500,4409500,0.21495327102803738
68,440500,4409500,0.22641509433962265
69,441500,4409500,0.03333333333333333
70,442500,4409500,0.0
71,443500,4409500,0.02766798418972332
72,444500,4409500,0.031007751937984496
73,445500,4409500,0.03636363636363636
74,446500,4409500,0.07534246575342465
75,447500,4409500,0.0547945205479452
76,448500,4409500,0.004329004329004329
77,449500,4409500,0.0
78,450500,4409500,0.020942408376963352
79,451500,4409500,0.06293706293706294
80,452500,4409500,0.06741573033707865
81,453500,4409500,0.015037593984962405
82,454500,4409500,0.03592814371257485
83,455500,4409500,0.010869565217391304
84,456500,4409500,0.03333333333333333
85,457500,4409500,0.0
86,458500,4409500,0.0
87,459500,4409500,0.0
88,460500,4409500,0.0
89,461500,4409500,0.0
90,462500,4409500,0.0
91,433500,4410500,0.0
