s_id,e_id,count,average_time,average_distance,average_reward,total_count,des_prob
7.0,164.0,3,32,8.894999999999998,61,5.0,0.6
7.0,188.0,1,19,5.1610000000000005,47,5.0,0.2
7.0,192.0,1,26,7.2429999999999986,49,5.0,0.2
8.0,96.0,1,11,3.197,33,3.0,0.334
8.0,128.0,1,13,3.5439999999999996,39,3.0,0.333
8.0,218.0,1,25,6.942,48,3.0,0.333
10.0,253.0,2,32,8.698,39,8.0,0.25
10.0,279.0,6,30,8.238,38,8.0,0.75
11.0,109.0,1,29,7.85,51,1.0,1.0
13.0,279.0,2,38,10.405,70,2.0,1.0
14.0,164.0,2,20,5.657,38,3.0,0.667
14.0,284.0,1,34,9.229,40,3.0,0.333
17.0,109.0,2,12,3.437,24,3.0,0.667
17.0,193.0,1,25,6.9079999999999995,48,3.0,0.333
19.0,255.0,1,32,8.795,63,3.0,0.334
19.0,260.0,1,26,7.166,35,3.0,0.333
19.0,285.0,1,35,9.675,58,3.0,0.333
24.0,198.0,5,28,7.8210000000000015,56,5.0,1.0
36.0,38.0,1,7,2.149,33,42.0,0.024
36.0,41.0,1,16,4.502,38,42.0,0.024
36.0,43.0,20,25,6.891999999999999,37,42.0,0.474
36.0,74.0,2,27,7.3904999999999985,57,42.0,0.048
36.0,128.0,2,11,3.029,36,42.0,0.048
36.0,135.0,3,31,8.565333333333333,50,42.0,0.071
36.0,136.0,7,39,10.571,71,42.0,0.16699999999999998
36.0,164.0,1,33,9.111,60,42.0,0.024
36.0,186.0,1,17,4.651,44,42.0,0.024
36.0,215.0,2,25,6.893,54,42.0,0.048
36.0,342.0,2,40,11.025,73,42.0,0.048
37.0,69.0,1,10,2.861,36,10.0,0.1
37.0,78.0,1,39,10.542,62,10.0,0.1
37.0,96.0,1,7,2.06,29,10.0,0.1
37.0,164.0,1,31,8.461,50,10.0,0.1
37.0,185.0,2,20,5.441,45,10.0,0.2
37.0,211.0,1,26,7.239,52,10.0,0.1
37.0,253.0,1,33,9.127,52,10.0,0.1
37.0,336.0,1,35,9.682,58,10.0,0.1
37.0,341.0,1,39,10.785,72,10.0,0.1
38.0,99.0,4,7,2.006,20,10.0,0.4
38.0,129.0,6,10,2.8680000000000003,34,10.0,0.6
39.0,129.0,1,10,2.833,27,1.0,1.0
41.0,199.0,1,36,9.771,67,1.0,1.0
42.0,107.0,2,22,6.034,44,2.0,1.0
45.0,106.0,1,9,2.548,35,1.0,1.0
46.0,74.0,1,8,2.167,33,15.0,0.066
46.0,105.0,1,7,1.9569999999999999,32,15.0,0.067
46.0,106.0,3,8,2.3819999999999997,31,15.0,0.2
46.0,164.0,2,16,4.55,27,15.0,0.133
46.0,195.0,1,19,5.247000000000001,41,15.0,0.067
46.0,219.0,6,36,9.725,59,15.0,0.4
46.0,279.0,1,38,10.261,61,15.0,0.067
48.0,288.0,1,30,8.349,46,1.0,1.0
51.0,108.0,3,11,3.0690000000000004,33,10.0,0.3
51.0,143.0,7,14,4.001,39,10.0,0.7
53.0,231.0,1,22,6.2,45,1.0,1.0
54.0,52.0,2,9,2.53,28,2.0,1.0
57.0,323.0,1,37,10.206,69,1.0,1.0
59.0,109.0,1,39,10.642999999999999,62,2.0,0.5
59.0,359.0,1,34,9.365,65,2.0,0.5
63.0,121.0,1,9,2.468,35,7.0,0.14300000000000002
63.0,272.0,5,26,7.117000000000003,50,7.0,0.7140000000000001
63.0,279.0,1,35,9.542,66,7.0,0.14300000000000002
65.0,67.0,2,8,2.311,30,2.0,1.0
66.0,6.0,3,5,1.5249999999999997,24,18.0,0.16399999999999998
66.0,7.0,1,5,1.524,23,18.0,0.056
66.0,8.0,3,11,3.07,37,18.0,0.16699999999999998
66.0,98.0,2,6,1.715,31,18.0,0.111
66.0,99.0,1,13,3.609,35,18.0,0.056
66.0,135.0,4,31,8.592,50,18.0,0.222
66.0,157.0,1,11,3.016,37,18.0,0.056
66.0,164.0,1,31,8.605,62,18.0,0.056
66.0,166.0,1,35,9.655,42,18.0,0.056
66.0,185.0,1,15,4.126,42,18.0,0.056
67.0,74.0,1,28,7.605,36,23.0,0.045
67.0,98.0,1,6,1.7919999999999998,20,23.0,0.043
67.0,164.0,3,30,8.177999999999999,37,23.0,0.13
67.0,244.0,6,24,6.521,34,23.0,0.261
67.0,248.0,1,23,6.3660000000000005,52,23.0,0.043
67.0,274.0,2,26,7.202000000000001,35,23.0,0.087
